label,area,equivalent_diameter,mean_intensity-0,mean_intensity-1,mean_intensity-2,solidity
2,468.0,24.410573670769317,79.49358974358974,78.55128205128206,74.74786324786325,0.6591549295774648
3,3896.0,70.43111007422922,155.45893223819303,170.63039014373717,166.3626796714579,0.9068901303538175
4,748.0,30.860706075232656,108.37566844919786,107.77941176470588,102.64438502673796,0.935
5,2656.0,58.152594360153806,70.26543674698796,70.27823795180723,70.27823795180723,0.863739837398374
8,4213.0,73.24041372063132,164.0928079753145,160.5741751720864,156.94801803940186,0.9040772532188841
14,1595.0,45.06458780298101,80.66081504702194,79.85266457680251,75.82884012539185,0.8208955223880597
16,292.0,19.281751659604673,92.03424657534246,92.0513698630137,91.95890410958904,0.9636963696369637
19,954.0,34.8521236896311,24.22012578616352,67.76100628930817,62.87735849056604,0.6978785662033651
20,6172.0,88.64781142309958,21.121354504212572,56.892093324692155,52.266688269604664,0.6483193277310925
24,183.0,15.26443044094783,19.39344262295082,64.83060109289617,58.68306010928962,0.5772870662460567
31,252.0,17.91246396432554,16.476190476190474,62.53174603174603,56.28968253968254,0.6666666666666666
32,316.0,20.0585068271871,58.4746835443038,65.15189873417721,79.24367088607595,0.9239766081871345
33,2754.0,59.21572178231587,89.19970951343501,94.28395061728395,95.72585330428468,0.7056110684089162
34,134.0,13.061933202803933,36.26119402985075,66.55970149253731,63.02985074626866,0.8758169934640523
36,61.0,8.812923024107548,5.245901639344262,43.0,40.21311475409836,0.6853932584269663
38,3984.0,71.22209170071382,23.066265060240966,56.15963855421687,52.00175702811245,0.6494946201499837
46,1766.0,47.41878357784284,23.032842582106454,58.74462061155153,53.96489241223103,0.5954146999325691
52,2265.0,53.70183952924838,27.240618101545255,58.33377483443709,54.00132450331126,0.6882406563354604
56,596.0,27.547246117573295,70.16946308724832,93.9496644295302,89.8489932885906,0.956661316211878
57,269.0,18.5067943613625,85.05204460966543,86.40892193308551,76.18587360594796,0.9539007092198581
58,106.0,11.617374563210365,53.839622641509436,52.386792452830186,44.924528301886795,0.7969924812030075
59,202.0,16.03728119216293,87.32178217821782,96.42079207920793,93.4009900990099,0.9223744292237442
61,726.0,30.403485153477522,181.16666666666666,99.57162534435261,58.28099173553719,0.9440832249674902
68,685.0,29.53250900522315,17.724087591240878,62.21021897810219,56.683211678832116,0.8313106796116505
72,52.0,8.136857890256438,56.21153846153846,50.63461538461539,48.59615384615385,0.8387096774193549
76,506.0,25.38226171238474,65.23517786561264,54.3201581027668,51.10276679841897,0.729106628242075
79,3153.0,63.36027370955691,94.27370758008246,94.0837297811608,94.5848398350777,0.7305375347544022
82,9052.0,107.35624974328553,94.31849315068493,94.16979673000442,94.81396376491384,0.7597146454049517
84,1716.0,46.74268989655537,116.38344988344988,118.28613053613054,116.31293706293707,0.8109640831758034
85,415.0,22.98683125324351,112.95421686746988,119.25542168674698,117.89156626506023,0.7504520795660036
86,6590.0,91.60048362211153,154.0380880121396,154.10500758725343,155.56949924127466,0.797048863086599
87,456.0,24.095585330081406,143.73245614035088,159.4934210526316,154.7061403508772,0.8028169014084507
90,196.0,15.797308339337176,77.5204081632653,109.28061224489795,104.09183673469387,0.7747035573122529
91,109.0,11.780624362746345,93.73394495412845,93.73394495412845,93.73394495412845,0.8582677165354331
94,160.0,14.27299292922217,84.6125,85.99375,76.275,1.0
95,151.0,13.86575534383214,94.52980132450331,95.21854304635761,94.87417218543047,0.949685534591195
96,458.0,24.148368712786887,52.35807860262009,57.69432314410481,64.69868995633188,0.6205962059620597
101,833.0,32.56698544176895,156.66746698679472,156.07923169267707,158.12725090036014,0.9194260485651214
102,510.0,25.482389366284572,187.3235294117647,186.71372549019608,186.55098039215687,0.9444444444444444
103,874.0,33.35882734897215,177.47254004576658,164.16704805491992,154.9599542334096,0.9066390041493776
108,53.0,8.214724333230155,86.90566037735849,95.16981132075472,92.24528301886792,0.9464285714285714
114,773.0,31.372187811504013,77.72445019404915,133.83570504527813,111.19534282018111,0.8714768883878241
119,54.0,8.291859587312052,39.092592592592595,123.35185185185185,243.44444444444446,0.8709677419354839
122,51.0,8.058239062071396,25.294117647058822,31.0,43.96078431372549,0.85
124,236.0,17.334489682638438,40.05508474576271,51.8771186440678,70.23305084745763,0.9752066115702479
125,51.0,8.058239062071396,37.72549019607843,120.23529411764706,247.45098039215685,0.9807692307692307
126,8812.0,105.92349535493177,40.191897412619156,52.107580571947345,70.22809804811621,0.9081727300834793
127,82.0,10.217907939900583,94.5,95.73170731707317,94.7560975609756,0.9111111111111111
130,119.0,12.309163489997376,22.34453781512605,31.092436974789916,42.19327731092437,0.9083969465648855
131,152.0,13.911592676604096,89.50657894736842,168.1315789473684,113.76315789473684,0.7238095238095238
